Bénéficiaires Grand Est,Bénéficiaires AT 1,Bénéficiaires AT 2,Bénéficiaires AT 3,Bénéficiaires AT 4
Association,Associations,,,
Collectivité territoriale,Communes,Intercommunalités / Pays,Départements,Régions
Etablissement public,Établissement public,"Entreprises publiques locales (Sem, Spl, SemOp)",,
Demandeur d'emploi,Particuliers,,,
Etablissement d'enseignement - CFA,Établissement public,Recherche,,
Structure culturelle ou artistique - Artiste,Associations,Particuliers,Entreprises privées,
Particulier,Particuliers,,,
Structure sportive - Sportif,Associations,Particuliers,Entreprises privées,
Entreprise - Artisan - Société,Entreprises privées,Agriculteurs,,
Jeune - Lycéen - Apprenti - Etudiant,Particuliers,Recherche,,
