Thématique Nouvelle-Aquitaine,URL,Sous-thématique AT 1,Sous-thématique AT 2,Sous-thématique AT 3
Aménagement du territoire,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Am%C3%A9nagement%20du%20territoire/rss.xml,,,
Aménagement numérique,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Am%C3%A9nagement%20num%C3%A9rique/rss.xml,Technologies numériques et numérisation,Inclusion numérique,
Économie territoriale,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89conomie%20territoriale/rss.xml,Economie locale et circuits courts,,
Égalité,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89galit%C3%A9/rss.xml,Egalité des chances,,
Europe et international,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Europe%20et%20international/rss.xml,International,,
Foncier,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Foncier/rss.xml,Foncier,,
Infrastructures,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Infrastructures/rss.xml,Architecture,Bâtiments et construction,
Logement,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Logement/rss.xml,Logement et habitat,,
Politique contractuelle,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Politique%20contractuelle/rss.xml,Appui méthodologique,,
Politique de la ville,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Politique%20de%20la%20ville/rss.xml,Bâtiments et construction,Espaces verts,
Santé,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Sant%C3%A9/rss.xml,Santé,,
Silver économie,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Silver%20%C3%A9conomie/rss.xml,Personnes âgées,,
Solidarité,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Solidarit%C3%A9/rss.xml,Accès aux services,Cohésion sociale et inclusion,Lutte contre la précarité
Sport,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Sport/rss.xml,Sports et loisirs,,
Transports,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Transports/rss.xml,Transports collectifs et optimisation des trafics routiers,,
Vie associative,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Vie%20associative/rss.xml,Animation et mise en réseau,,
Culture,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Culture/rss.xml,,,
Arts plastiques et visuels,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Arts%20plastiques%20et%20visuels/rss.xml,Arts plastiques et photographie,,
Cinéma et audiovisuel,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Cin%C3%A9ma%20et%20audiovisuel/rss.xml,Médias et communication,,
Disque et livre,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Disque%20et%20livre/rss.xml,Bibliothèques et livres,,
Éducation artistique et culturelle,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89ducation%20artistique%20et%20culturelle/rss.xml,Culture et identité collective,,
Équipements Culturels,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89quipements%20Culturels/rss.xml,Patrimoine et monuments historiques,Culture et identité collective,
Équipements culturels,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89quipements%20culturels/rss.xml,Patrimoine et monuments historiques,Culture et identité collective,
Langues et cultures régionales,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Langues%20et%20cultures%20r%C3%A9gionales/rss.xml,Culture et identité collective,,
Manifestations culturelles,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Manifestations%20culturelles/rss.xml,Culture et identité collective,,
Patrimoine et inventaire,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Patrimoine%20et%20inventaire/rss.xml,Patrimoine et monuments historiques,,
Spectacle vivant,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Spectacle%20vivant/rss.xml,Spectacle vivant,,
Économie et Emploi,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89conomie%20et%20Emploi/rss.xml,,,
Aéronautique,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/A%C3%A9ronautique/rss.xml,Industrie,,
Agriculture,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Agriculture/rss.xml,Agriculture et agroalimentaire,Consommation et production,
Agroalimentaire,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Agroalimentaire/rss.xml,Agriculture et agroalimentaire,Consommation et production,
Artisanat,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Artisanat/rss.xml,Artisanat,Consommation et production,
Bio,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Bio/rss.xml,Agriculture et agroalimentaire,Consommation et production,
Bois et forêt,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Bois%20et%20for%C3%AAt/rss.xml,Forêts,,
Chimie et matériaux,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Chimie%20et%20mat%C3%A9riaux/rss.xml,Industrie,Consommation et production,
Création d'emplois,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Cr%C3%A9ation%20d%27emplois/rss.xml,Emploi,,
Création d'entreprise,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Cr%C3%A9ation%20d%27entreprise/rss.xml,Industrie,,
"Cuir, luxe",https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Cuir%2C%20luxe/rss.xml,Industrie,Consommation et production
Développement international,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/D%C3%A9veloppement%20international/rss.xml,International,,
Économie culturelle,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/%C3%89conomie%20culturelle/rss.xml,Attractivité économique,International,
Emploi,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/Emploi/rss.xml,Emploi,,
ESS,https://les-aides.nouvelle-aquitaine.fr/fiches-rss/ESS/rss.xml,Economie sociale et solidaire,,
