communeINSEE,aidsCount
21398,168
52128,275
52110,275
21101,221
21672,221
21316,168
21569,168
52014,222
21098,221
52488,275
52147,275
21332,168
52428,275
52195,222
52312,275
21639,168
52023,275
21480,168
21532,168
52008,275
52203,275
52536,222
21541,168
52424,222
21064,221
52341,275
21703,222
21284,168
52330,275
52108,275
52007,275
52374,222
52214,275
21617,172
21023,222
52349,275
21136,168
52027,222
21346,221
21652,168
21241,168
52546,222
21138,168
21576,221
21499,221
21590,168
21096,168
21139,221
52315,275
52145,222
21393,221
21396,221
52131,275
21348,168
21344,168
52352,275
52249,222
21365,221
21420,222
52350,222
52212,275
52518,275
52469,275
21644,168
52265,275
21609,168
21510,221
21251,222
21716,168
52173,275
21685,221
21469,168
21440,168
21185,168
52213,222
21358,221
52227,231
52039,275
21689,221
52022,275
52109,275
52244,275
21205,221
52391,275
52289,231
21549,221
52325,275
52232,275
52019,275
21544,221
52310,275
21288,221
21424,168
52271,275
21212,221
21054,172
52425,222
21710,221
21421,168
52093,223
21591,168
21071,168
52002,222
21653,221
21610,168
21580,221
52473,275
21607,168
52194,275
21173,168
52064,231
21548,221
21182,168
52369,275
52483,222
52356,275
21546,221
21073,137
52390,222
21190,168
52342,275
52122,231
21405,168
21295,168
52331,276
52288,275
52050,275
52063,231
52254,275
21523,168
52365,275
21330,168
52091,275
21130,168
52304,231
52001,275
21688,168
52140,275
21676,221
52534,275
52067,231
21258,221
21279,221
21486,168
21561,168
21584,221
21313,221
52302,275
21145,221
21571,168
21498,221
52199,275
21389,221
21227,168
21634,168
21665,168
52359,275
52298,222
52135,222
52468,275
21361,168
21221,222
21237,221
52375,222
21627,221
52336,275
52103,222
21091,168
52394,222
52463,275
21517,168
21547,221
21416,168
21172,168
21524,221
52548,275
52461,275
52094,222
21632,168
52328,222
21360,168
21333,168
21106,168
21554,168
52011,275
21529,221
52130,275
52253,275
21512,168
52115,275
21222,168
52311,222
52069,275
21134,221
21018,168
52442,275
21254,168
21323,168
21293,168
52320,231
52535,275
52231,275
21582,168
21465,221
52519,222
52482,231
21186,168
21680,168
52021,275
21471,221
21709,221
21219,168
21250,221
21578,168
52292,222
52529,222
52386,275
21103,168
52445,222
52172,275
21027,168
52452,275
52204,275
52043,222
52038,231
21208,168
21157,221
21691,168
52459,275
52472,275
21060,168
52499,222
21301,168
52358,231
21056,168
52250,276
52245,275
21633,221
52221,275
52447,275
21345,168
52541,275
21555,168
52165,275
21670,221
21107,168
21482,168
21081,221
21303,221
21522,168
52439,275
52403,275
21461,168
52524,275
21542,168
21518,221
21464,168
52033,231
52399,275
52051,222
21158,168
52377,231
21035,168
52138,275
52301,231
52286,275
52539,222
21242,168
21699,168
21553,168
21214,168
21635,221
21450,168
21454,221
21189,168
52411,275
52313,275
21317,168
21391,168
21376,168
52087,275
21712,168
21589,168
21570,168
52493,222
52400,231
21662,221
21596,168
52174,231
52490,275
21601,168
21259,221
21008,221
21231,172
21086,168
52184,275
52248,275
21262,221
21373,168
52416,231
21194,168
52503,222
21184,168
21200,168
21164,168
21579,168
52167,275
21407,168
21377,221
21325,222
21487,168
21270,168
52157,275
52362,275
21240,168
21683,222
21446,221
21216,222
52025,231
52392,222
52075,275
52426,275
21537,221
21261,168
21334,222
21433,168
52422,275
21493,168
21636,222
52097,275
21132,168
52119,222
21626,221
21197,221
21369,168
21647,168
21276,221
21641,221
21211,168
52373,275
21141,221
52090,222
21531,221
52230,275
21029,221
21430,221
21105,168
21102,222
52280,275
21618,168
21014,168
21539,221
21120,168
21455,221
21586,168
21114,221
52137,275
21386,221
21600,168
21207,168
21112,168
21085,221
21411,168
21664,221
21457,221
52085,275
21291,221
52114,275
52300,275
52407,231
52354,222
52395,275
52207,275
21425,221
52432,275
21515,168
52106,275
21049,168
21175,168
52034,275
21286,168
52500,275
21638,168
52246,275
21540,168
21378,221
21528,221
21010,168
52272,275
21650,168
52277,231
21093,221
52347,275
21233,168
21352,168
52275,222
52053,275
21034,221
21615,222
52366,275
52429,275
52045,275
52178,275
52104,275
21550,221
52297,275
21037,168
21340,168
21622,168
52520,222
21438,221
21495,168
52319,275
52003,275
21362,168
52291,275
21488,221
21123,221
21069,221
52146,275
21260,221
21575,168
52163,275
21545,221
52151,275
21154,221
52484,275
52370,275
52066,275
21088,168
21076,168
21392,221
21265,168
52433,231
52378,275
52437,275
52177,275
52029,275
21698,168
21412,168
52322,275
52035,222
21648,221
52124,222
52065,275
21100,221
52415,222
52072,275
52495,275
21642,221
21423,168
21015,222
21350,221
21674,221
52353,276
21338,168
52218,275
52431,275
52464,222
52413,275
21039,168
21030,168
21574,168
21437,168
52012,275
21701,168
21229,222
21210,168
21070,168
21687,221
21630,221
21401,168
52419,275
21128,221
52363,275
21300,168
21203,221
21012,221
21116,221
52017,275
21306,168
21079,168
21337,168
21252,221
21613,221
21404,221
52453,275
52264,222
21147,221
52059,275
21165,221
21004,221
21444,221
52318,222
21320,168
52450,275
21040,221
21314,221
21218,168
21560,222
21511,221
21367,168
21133,168
21113,168
21502,168
21414,222
21483,168
52217,231
52383,275
21605,168
21319,168
21572,168
52260,275
21304,168
52470,222
21118,168
21092,168
21490,221
21562,168
21011,221
52084,275
21538,221
52511,275
21581,168
21127,168
21620,168
52465,231
52274,275
21380,221
21356,168
52185,222
21684,168
21109,221
21052,221
52326,275
21681,221
21209,168
21150,168
21682,168
21387,168
21402,221
21273,168
21506,168
21117,221
52337,275
21399,221
21341,221
21152,168
52457,275
52133,275
52092,222
21429,221
21243,168
21491,168
52423,275
52179,275
21272,221
21287,221
21606,168
52004,275
52205,275
52396,275
52372,231
21294,168
21694,221
52234,231
52159,275
21274,222
21055,221
52542,275
52444,275
21637,168
52516,222
21329,221
21677,168
21467,168
21383,168
21285,168
52401,275
21115,221
21199,221
52505,231
52198,275
21460,221
52206,275
52346,275
52044,275
21406,168
21225,168
52240,222
52155,222
21651,168
21567,222
52161,231
21556,168
21195,168
21084,221
21159,221
21657,168
21305,221
21201,221
52121,285
52538,275
52113,222
52306,275
21619,168
52005,275
52037,275
21160,221
52502,275
52127,231
52016,275
52474,275
52506,275
52456,275
21094,168
52540,275
21187,168
52200,222
21080,221
21359,221
21452,168
52058,275
21298,221
52101,231
21458,168
21022,168
21409,168
21436,168
52136,222
21479,168
21179,168
21066,168
52397,275
52360,222
21470,221
21558,168
21078,221
52491,275
52076,275
21496,168
21397,168
21087,168
21108,221
21381,221
21044,221
21631,222
21497,221
21357,221
21061,221
21565,168
21473,168
52489,275
52181,275
52162,231
21097,221
21456,221
21413,221
21111,168
52455,231
52237,231
21309,221
21370,168
52290,222
21074,168
21536,168
21001,168
52189,222
21629,221
21661,168
21315,168
21408,168
52494,275
21238,168
52355,275
52550,276
52079,275
21253,221
21390,168
52013,222
52278,275
52171,275
21024,221
52256,231
21526,221
52398,275
21628,221
21176,221
52222,275
21645,168
52168,275
21519,221
21006,221
52116,275
21655,221
21379,222
21122,221
21675,222
21625,168
52028,275
21181,222
21202,221
52525,275
52512,275
21503,168
52295,275
21462,168
21063,221
21028,168
21646,221
52118,275
52141,275
21236,168
21602,221
21516,221
21249,168
52211,275
21247,221
21592,168
21587,168
21046,222
21335,221
21686,221
52316,275
52294,275
21355,172
21331,168
52057,275
21468,168
21042,168
21472,168
21110,168
21608,221
52380,275
21395,221
52060,223
21003,168
52436,275
21005,168
21143,221
21277,168
52388,222
21021,168
21643,168
21135,168
21621,168
52083,222
21232,221
21382,221
21603,221
21051,168
21156,168
21263,168
21717,221
21228,168
21342,168
52504,222
52208,222
21327,222
21002,168
52089,222
21256,168
52385,275
21422,221
21563,221
21715,222
21026,221
21310,221
21038,168
21700,221
21669,221
21431,221
52126,222
52438,222
52327,275
21384,168
21353,168
21475,168
52190,275
52269,280
21169,168
52287,231
21372,221
21322,168
52467,222
21215,168
