code,nb_live_aids,nb_live_aids_type_technical,nb_live_aids_category_transition,nb_live_aids_local,nb_live_aids_type_technical_local,nb_live_aids_category_transition_local
21398,168,65,46,45,7,7
52128,275,72,60,152,14,21
52110,275,72,60,152,14,21
21101,221,67,46,98,9,7
21672,221,67,46,98,9,7
21316,168,65,46,45,7,7
21569,168,65,46,45,7,7
52014,222,70,60,99,12,21
21098,221,67,46,98,9,7
52488,275,72,60,152,14,21
52147,275,72,60,152,14,21
21332,168,65,46,45,7,7
52428,275,72,60,152,14,21
52195,222,70,60,99,12,21
52312,275,72,60,152,14,21
21639,168,65,46,45,7,7
52023,275,72,60,152,14,21
21480,168,65,46,45,7,7
21532,168,65,46,45,7,7
52008,275,72,60,152,14,21
52203,275,72,60,152,14,21
52536,222,70,60,99,12,21
21541,168,65,46,45,7,7
52424,222,70,60,99,12,21
21064,221,67,46,98,9,7
52341,275,72,60,152,14,21
21703,222,66,46,99,8,7
21284,168,65,46,45,7,7
52330,275,72,60,152,14,21
52108,275,72,60,152,14,21
52007,275,72,60,152,14,21
52374,222,70,60,99,12,21
52214,275,72,60,152,14,21
21617,172,67,46,49,9,7
21023,222,66,46,99,8,7
52349,275,72,60,152,14,21
21136,168,65,46,45,7,7
52027,222,70,60,99,12,21
21346,221,67,46,98,9,7
21652,168,65,46,45,7,7
21241,168,65,46,45,7,7
52546,222,70,60,99,12,21
21138,168,65,46,45,7,7
21576,221,67,46,98,9,7
21499,221,67,46,98,9,7
21590,168,65,46,45,7,7
21096,168,65,46,45,7,7
21139,221,67,46,98,9,7
52315,275,72,60,152,14,21
52145,222,70,60,99,12,21
21393,221,67,46,98,9,7
21396,221,67,46,98,9,7
52131,275,72,60,152,14,21
21348,168,65,46,45,7,7
21344,168,65,46,45,7,7
52352,275,72,60,152,14,21
52249,222,70,60,99,12,21
21365,221,67,46,98,9,7
21420,222,66,46,99,8,7
52350,222,70,60,99,12,21
52212,275,72,60,152,14,21
52518,275,72,60,152,14,21
52469,275,72,60,152,14,21
21644,168,65,46,45,7,7
52265,275,72,60,152,14,21
21609,168,65,46,45,7,7
21510,221,67,46,98,9,7
21251,222,66,46,99,8,7
21716,168,65,46,45,7,7
52173,275,72,60,152,14,21
21685,221,67,46,98,9,7
21469,168,65,46,45,7,7
21440,168,65,46,45,7,7
21185,168,65,46,45,7,7
52213,222,70,60,99,12,21
21358,221,67,46,98,9,7
52227,231,70,60,108,12,21
52039,275,72,60,152,14,21
21689,221,67,46,98,9,7
52022,275,72,60,152,14,21
52109,275,72,60,152,14,21
52244,275,72,60,152,14,21
21205,221,67,46,98,9,7
52391,275,72,60,152,14,21
52289,231,70,60,108,12,21
21549,221,67,46,98,9,7
52325,275,72,60,152,14,21
52232,275,72,60,152,14,21
52019,275,72,60,152,14,21
21544,221,67,46,98,9,7
52310,275,72,60,152,14,21
21288,221,67,46,98,9,7
21424,168,65,46,45,7,7
52271,275,72,60,152,14,21
21212,221,67,46,98,9,7
21054,172,67,46,49,9,7
52425,222,70,60,99,12,21
21710,221,67,46,98,9,7
21421,168,65,46,45,7,7
52093,223,70,60,100,12,21
21591,168,65,46,45,7,7
21071,168,65,46,45,7,7
52002,222,70,60,99,12,21
21653,221,67,46,98,9,7
21610,168,65,46,45,7,7
21580,221,67,46,98,9,7
52473,275,72,60,152,14,21
21607,168,65,46,45,7,7
52194,275,72,60,152,14,21
21173,168,65,46,45,7,7
52064,231,70,60,108,12,21
21548,221,67,46,98,9,7
21182,168,65,46,45,7,7
52369,275,72,60,152,14,21
52483,222,70,60,99,12,21
52356,275,72,60,152,14,21
21546,221,67,46,98,9,7
21073,137,65,46,14,7,7
52390,222,70,60,99,12,21
21190,168,65,46,45,7,7
52342,275,72,60,152,14,21
52122,231,70,60,108,12,21
21405,168,65,46,45,7,7
21295,168,65,46,45,7,7
52331,276,72,60,153,14,21
52288,275,72,60,152,14,21
52050,275,72,60,152,14,21
52063,231,70,60,108,12,21
52254,275,72,60,152,14,21
21523,168,65,46,45,7,7
52365,275,72,60,152,14,21
21330,168,65,46,45,7,7
52091,275,72,60,152,14,21
21130,168,65,46,45,7,7
52304,231,70,60,108,12,21
52001,275,72,60,152,14,21
21688,168,65,46,45,7,7
52140,275,72,60,152,14,21
21676,221,67,46,98,9,7
52534,275,72,60,152,14,21
52067,231,70,60,108,12,21
21258,221,67,46,98,9,7
21279,221,67,46,98,9,7
21486,168,65,46,45,7,7
21561,168,65,46,45,7,7
21584,221,67,46,98,9,7
21313,221,67,46,98,9,7
52302,275,72,60,152,14,21
21145,221,67,46,98,9,7
