code,nb_live_aids,nb_live_aids_type_technical,nb_live_aids_type_financial,nb_live_aids_type_legal,nb_live_aids_category_transition,nb_live_aids_local,nb_live_aids_type_technical_local,nb_live_aids_type_financial_local,nb_live_aids_type_legal_local,nb_live_aids_category_transition_local
48181,684,137,81,36,112,213,19,6,7,25
98830,478,119,75,29,93,7,1,0,0,6
64217,564,137,78,34,102,93,19,3,5,15
36146,588,128,76,34,94,117,10,1,5,7
35250,591,130,78,34,98,120,12,3,5,11
55173,604,138,77,34,114,133,20,2,5,27
07173,533,136,77,32,102,62,18,2,3,15
46227,691,138,78,34,115,220,20,3,5,28
07109,533,136,77,32,102,62,18,2,3,15
33223,566,139,79,34,103,95,21,4,5,16
35080,591,130,78,34,98,120,12,3,5,11
88490,602,138,77,34,114,131,20,2,5,27
28151,585,129,77,33,94,114,11,2,4,7
55482,604,138,77,34,114,133,20,2,5,27
36232,588,128,76,34,94,117,10,1,5,7
71544,572,135,76,32,103,101,17,1,3,16
61482,604,133,77,33,98,133,15,2,4,11
55208,657,139,78,34,114,186,21,3,5,27
59257,510,137,84,40,97,39,19,9,11,10
11139,675,145,84,33,115,204,27,9,4,28
73285,534,134,76,32,101,63,16,1,3,14
54199,602,138,77,34,114,131,20,2,5,27
52027,591,135,77,34,111,120,17,2,5,24
22182,591,130,77,34,97,120,12,2,5,10
90043,567,132,76,32,100,96,14,1,3,13
25500,567,132,76,32,100,96,14,1,3,13
62702,512,140,84,40,100,41,22,9,11,13
50099,624,145,87,34,99,153,27,12,5,12
25262,567,132,76,32,100,96,14,1,3,13
14346,618,147,81,35,111,147,29,6,6,24
71505,572,135,76,32,103,101,17,1,3,16
89093,633,136,77,32,103,162,18,2,3,16
66084,664,136,77,33,113,193,18,2,4,26
38041,532,134,76,32,101,61,16,1,3,14
24462,566,139,78,34,102,95,21,3,5,15
44020,603,132,76,34,96,132,14,1,5,9
39225,570,135,76,32,103,99,17,1,3,16
80555,510,138,84,40,97,39,20,9,11,10
85152,627,146,85,36,100,156,28,10,7,13
68335,600,137,77,34,113,129,19,2,5,26
73296,534,134,76,32,101,63,16,1,3,14
41255,590,131,76,34,97,119,13,1,5,10
60643,519,147,89,45,100,48,29,14,16,13
59342,509,137,84,40,97,38,19,9,11,10
30262,664,136,77,33,113,193,18,2,4,26
10142,653,137,78,34,111,182,19,3,5,24
19060,563,137,78,34,102,92,19,3,5,15
08055,599,136,78,34,112,128,18,3,5,25
01400,532,135,77,32,102,61,17,2,3,15
69047,535,137,77,33,102,64,19,2,4,15
60487,612,148,90,45,100,141,30,15,16,13
18246,591,132,77,34,98,120,14,2,5,11
37082,591,132,77,34,98,120,14,2,5,11
76652,603,135,78,32,98,132,17,3,3,11
22121,612,141,86,36,98,141,23,11,7,11
82068,686,137,77,33,113,215,19,2,4,26
29097,598,137,81,38,103,127,19,6,9,16
91549,629,143,80,34,104,158,25,5,5,17
88408,603,138,77,34,114,132,20,2,5,27
68274,600,137,77,34,113,129,19,2,5,26
62368,512,140,84,40,100,41,22,9,11,13
27493,624,146,87,34,99,153,28,12,5,12
58261,637,134,78,33,102,166,16,3,4,15
11210,666,136,78,33,113,195,18,3,4,26
71287,572,135,76,32,103,101,17,1,3,16
61507,604,133,77,33,98,133,15,2,4,11
28110,585,129,77,33,94,114,11,2,4,7
35161,590,129,77,34,97,119,11,2,5,10
77363,618,142,80,33,106,147,24,5,4,19
33412,566,139,79,34,103,95,21,4,5,16
17325,565,138,79,35,102,94,20,4,6,15
47029,566,138,78,34,102,95,20,3,5,15
64249,565,137,78,34,102,94,19,3,5,15
65482,699,136,80,35,114,228,18,5,6,27
48187,684,137,81,36,112,213,19,6,7,25
2B169,527,131,75,32,96,56,13,0,3,9
41038,590,131,76,34,97,119,13,1,5,10
82151,707,148,86,35,114,236,30,11,6,27
71144,635,135,76,33,103,164,17,1,4,16
29016,598,137,81,38,103,127,19,6,9,16
58124,637,134,78,33,102,166,16,3,4,15
73184,534,134,76,32,101,63,16,1,3,14
72091,606,135,76,34,99,135,17,1,5,12
30258,689,149,87,35,114,218,31,12,6,27
88129,603,139,78,34,115,132,21,3,5,28
76183,603,135,78,32,98,132,17,3,3,11
19219,563,137,78,34,102,92,19,3,5,15
07189,533,136,77,32,102,62,18,2,3,15
62419,512,140,84,40,100,41,22,9,11,13
02171,611,147,91,45,100,140,29,16,16,13
31484,684,137,78,34,113,213,19,3,5,26
90082,567,132,76,32,100,96,14,1,3,13
27342,603,135,78,32,98,132,17,3,3,11
76527,603,135,78,32,98,132,17,3,3,11
56161,590,129,77,34,97,119,11,2,5,10
62457,516,142,85,40,100,45,24,10,11,13
38503,532,134,76,32,101,61,16,1,3,14
30161,664,136,77,33,113,193,18,2,4,26
83152,535,132,78,32,101,64,14,3,3,14
17319,564,138,79,35,102,93,20,4,6,15
49178,606,135,76,34,99,135,17,1,5,12
38133,532,134,76,32,101,61,16,1,3,14
35214,590,129,77,34,97,119,11,2,5,10
18010,591,132,77,34,98,120,14,2,5,11
55385,604,138,77,34,114,133,20,2,5,27
10324,653,137,78,34,111,182,19,3,5,24
67012,601,138,77,34,114,130,20,2,5,27
95253,616,141,79,33,104,145,23,4,4,17
22229,592,131,78,34,98,121,13,3,5,11
74097,532,134,76,32,101,61,16,1,3,14
28305,587,128,76,34,94,116,10,1,5,7
80455,510,138,84,40,97,39,20,9,11,10
35291,590,129,77,34,97,119,11,2,5,10
50032,602,134,78,32,98,131,16,3,3,11
72194,606,135,76,34,99,135,17,1,5,12
25434,588,143,85,34,101,117,25,10,5,14
78501,616,140,80,33,104,145,22,5,4,17
32130,684,137,78,34,113,213,19,3,5,26
17353,565,138,79,35,102,94,20,4,6,15
05063,531,131,77,32,99,60,13,2,3,12
64498,564,137,78,34,102,93,19,3,5,15
12122,683,136,77,33,113,212,18,2,4,26
80272,510,138,84,40,97,39,20,9,11,10
27270,511,134,79,32,100,40,16,4,3,13
71585,572,135,76,32,103,101,17,1,3,16
15021,551,134,76,32,101,80,16,1,3,14
31206,684,137,78,34,114,213,19,3,5,27
68377,600,137,77,34,113,129,19,2,5,26
72070,606,135,76,34,99,135,17,1,5,12
39086,570,135,76,32,103,99,17,1,3,16
32030,684,137,78,34,113,213,19,3,5,26
80588,510,138,84,40,97,39,20,9,11,10
32028,684,137,78,34,113,213,19,3,5,26
63130,596,135,77,33,102,125,17,2,4,15
67473,601,138,77,34,114,130,20,2,5,27
47024,565,138,78,34,102,94,20,3,5,15
62491,512,140,84,40,100,41,22,9,11,13
82177,686,137,77,33,113,215,19,2,4,26
56054,591,129,77,34,97,120,11,2,5,10
42027,594,133,77,33,99,123,15,2,4,12
60456,612,148,90,45,100,141,30,15,16,13
31208,692,136,86,33,114,221,18,11,4,27
09260,684,138,78,33,114,213,20,3,4,27
76209,603,135,78,32,98,132,17,3,3,11
27420,603,135,78,32,98,132,17,3,3,11
91184,625,141,79,34,104,154,23,4,5,17
70009,570,135,76,32,103,99,17,1,3,16
21361,572,135,76,32,103,101,17,1,3,16
71542,635,135,76,33,103,164,17,1,4,16
62886,512,140,84,40,100,41,22,9,11,13
48130,684,137,81,36,112,213,19,6,7,25
77532,618,142,80,33,106,147,24,5,4,19
66068,664,136,77,33,113,193,18,2,4,26
25621,567,132,76,32,100,96,14,1,3,13
71546,572,135,76,32,103,101,17,1,3,16
39163,570,135,76,32,103,99,17,1,3,16
76302,624,146,87,34,99,153,28,12,5,12
08166,599,136,78,34,112,128,18,3,5,25
50532,603,134,78,32,98,132,16,3,3,11
43268,616,145,85,35,102,145,27,10,6,15
32254,684,137,78,34,113,213,19,3,5,26
07207,533,136,77,32,102,62,18,2,3,15
03196,595,134,76,33,101,124,16,1,4,14
58202,637,134,78,33,102,166,16,3,4,15
27301,603,135,78,32,98,132,17,3,3,11
21106,572,135,76,32,103,101,17,1,3,16
85101,606,135,76,34,99,135,17,1,5,12
71433,635,135,76,33,103,164,17,1,4,16
22008,591,130,77,34,97,120,12,2,5,10
34157,664,136,77,33,113,193,18,2,4,26
25472,567,132,76,32,100,96,14,1,3,13
50019,604,133,77,33,98,133,15,2,4,11
55420,604,138,77,34,114,133,20,2,5,27
38538,532,134,76,32,101,61,16,1,3,14
86138,607,137,78,35,102,136,19,3,6,15
80152,510,138,84,40,97,39,20,9,11,10
79150,566,138,79,35,102,95,20,4,6,15
76088,603,135,78,32,98,132,17,3,3,11
02203,612,148,92,45,101,141,30,17,16,14
02385,611,147,91,45,100,140,29,16,16,13
33547,566,139,79,34,103,95,21,4,5,16
06072,528,128,77,32,96,57,10,2,3,9
55041,657,139,78,34,114,186,21,3,5,27
88246,603,139,78,34,115,132,21,3,5,28
29101,599,137,81,38,103,128,19,6,9,16
15260,551,134,76,32,101,80,16,1,3,14
65129,720,147,89,37,115,249,29,14,8,28
39474,570,135,76,32,103,99,17,1,3,16
30012,685,147,86,35,114,214,29,11,6,27
15070,551,134,76,32,101,80,16,1,3,14
27667,603,135,78,32,98,132,17,3,3,11
25334,588,143,85,34,101,117,25,10,5,14
33472,566,139,79,34,103,95,21,4,5,16
39006,570,135,76,32,103,99,17,1,3,16
78643,620,142,81,33,104,149,24,6,4,17
01196,532,135,77,32,102,61,17,2,3,15
02350,611,147,91,45,100,140,29,16,16,13
91244,625,141,79,34,104,154,23,4,5,17
68134,600,137,77,34,113,129,19,2,5,26
05110,531,131,77,32,99,60,13,2,3,12
59163,514,139,85,40,97,43,21,10,11,10
76083,603,135,78,32,98,132,17,3,3,11
77304,618,142,80,33,106,147,24,5,4,19
80048,510,138,84,40,97,39,20,9,11,10
73052,534,134,76,32,101,63,16,1,3,14
59422,509,137,84,40,97,38,19,9,11,10
32378,684,137,78,34,113,213,19,3,5,26
57433,603,139,78,34,116,132,21,3,5,29
62705,512,140,84,40,100,41,22,9,11,13
35347,590,129,77,34,97,119,11,2,5,10
01015,532,135,77,32,102,61,17,2,3,15
67545,601,138,77,34,114,130,20,2,5,27
62762,512,140,84,40,100,41,22,9,11,13
33233,566,139,79,34,103,95,21,4,5,16
76442,603,135,78,32,98,132,17,3,3,11
08468,599,136,78,34,112,128,18,3,5,25
45053,609,139,85,36,95,138,21,10,7,8
33145,566,139,79,34,103,95,21,4,5,16
64447,564,137,78,34,102,93,19,3,5,15
59382,509,137,84,40,97,38,19,9,11,10
55472,657,139,78,34,114,186,21,3,5,27
19168,563,137,78,34,102,92,19,3,5,15
43118,595,134,76,33,101,124,16,1,4,14
21208,572,135,76,32,103,101,17,1,3,16
54602,602,138,77,34,114,131,20,2,5,27
14013,524,146,80,35,111,53,28,5,6,24
57391,601,138,77,34,114,130,20,2,5,27
48091,684,137,81,36,112,213,19,6,7,25
10081,657,139,79,34,111,186,21,4,5,24
30089,664,136,77,33,113,193,18,2,4,26
86011,607,137,78,35,102,136,19,3,6,15
98729,479,119,75,29,93,8,1,0,0,6
21301,572,135,76,32,103,101,17,1,3,16
07062,533,136,77,32,102,62,18,2,3,15
80732,603,139,85,40,97,132,21,10,11,10
95563,616,141,79,33,104,145,23,4,4,17
83075,535,132,78,32,101,64,14,3,3,14
81222,738,171,90,47,114,267,53,15,18,27
88273,603,139,78,34,115,132,21,3,5,28
53193,606,135,76,34,99,135,17,1,5,12
17343,564,138,79,35,102,93,20,4,6,15
50244,508,133,77,32,98,37,15,2,3,11
40292,566,139,78,35,102,95,21,3,6,15
82116,686,137,77,33,113,215,19,2,4,26
91129,625,141,79,34,104,154,23,4,5,17
51563,653,136,78,34,111,182,18,3,5,24
67542,601,138,77,34,114,130,20,2,5,27
41167,611,142,85,36,98,140,24,10,7,11
95509,616,141,79,33,104,145,23,4,4,17
30311,664,136,77,33,113,193,18,2,4,26
25418,567,132,76,32,100,96,14,1,3,13
67031,601,138,77,34,114,130,20,2,5,27
28403,585,129,77,33,94,114,11,2,4,7
02051,612,148,92,45,101,141,30,17,16,14
57271,601,138,77,34,114,130,20,2,5,27
27395,603,135,78,32,98,132,17,3,3,11
01391,532,135,77,32,102,61,17,2,3,15
85094,606,135,76,34,99,135,17,1,5,12
73080,533,134,76,32,101,62,16,1,3,14
82020,686,137,77,33,113,215,19,2,4,26
70312,570,135,76,32,103,99,17,1,3,16
43094,595,134,76,33,101,124,16,1,4,14
76438,603,135,78,32,98,132,17,3,3,11
28377,585,129,77,33,94,114,11,2,4,7
64206,564,137,78,34,102,93,19,3,5,15
36055,588,128,76,34,94,117,10,1,5,7
38357,532,134,76,32,101,61,16,1,3,14
02453,611,147,91,45,100,140,29,16,16,13
63156,596,135,77,33,102,125,17,2,4,15
44129,625,144,85,37,98,154,26,10,8,11
17211,564,138,79,35,102,93,20,4,6,15
17007,608,138,79,36,102,137,20,4,7,15
30127,664,136,77,33,113,193,18,2,4,26
06026,529,129,78,33,97,58,11,3,4,10
82052,686,137,77,33,113,215,19,2,4,26
77047,618,142,80,33,106,147,24,5,4,19
55518,657,139,78,34,114,186,21,3,5,27
76512,603,135,78,32,98,132,17,3,3,11
51627,653,136,78,34,111,182,18,3,5,24
26056,533,135,76,32,102,62,17,1,3,15
47057,586,149,87,36,103,115,31,12,7,16
72321,606,135,76,34,99,135,17,1,5,12
25293,567,132,76,32,100,96,14,1,3,13
24267,566,139,78,34,102,95,21,3,5,15
59118,509,137,84,40,97,38,19,9,11,10
45161,586,129,77,33,94,115,11,2,4,7
45112,586,129,77,33,94,115,11,2,4,7
31068,692,136,86,33,114,221,18,11,4,27
24327,566,139,78,34,102,95,21,3,5,15
66219,664,136,77,33,113,193,18,2,4,26
2A040,527,131,75,32,96,56,13,0,3,9
61123,602,134,78,32,98,131,16,3,3,11
11175,675,145,84,33,115,204,27,9,4,28
02469,611,147,91,45,100,140,29,16,16,13
40250,566,139,78,35,102,95,21,3,6,15
32021,685,138,79,34,113,214,20,4,5,26
63285,617,146,86,35,103,146,28,11,6,16
72083,606,135,76,34,99,135,17,1,5,12
18278,591,132,77,34,98,120,14,2,5,11
72287,606,135,76,34,99,135,17,1,5,12
26050,533,135,76,32,102,62,17,1,3,15
88061,594,138,77,34,114,123,20,2,5,27
62230,512,140,84,40,100,41,22,9,11,13
07212,533,136,77,32,102,62,18,2,3,15
65278,699,136,80,35,114,228,18,5,6,27
72381,606,135,76,34,99,135,17,1,5,12
39268,570,135,76,32,103,99,17,1,3,16
33054,566,139,79,34,103,95,21,4,5,16
62664,512,140,84,40,100,41,22,9,11,13
77322,618,142,80,33,106,147,24,5,4,19
23128,604,134,78,35,99,133,16,3,6,12
38045,532,134,76,32,101,61,16,1,3,14
82123,686,137,77,33,113,215,19,2,4,26
18113,591,132,77,34,98,120,14,2,5,11
50397,602,134,78,32,98,131,16,3,3,11
46062,691,138,78,34,115,220,20,3,5,28
72329,627,146,85,36,100,156,28,10,7,13
01101,532,135,77,32,102,61,17,2,3,15
86207,628,148,87,37,103,157,30,12,8,16
89080,633,136,77,32,103,162,18,2,3,16
38293,531,134,76,32,101,60,16,1,3,14
62090,512,140,84,40,100,41,22,9,11,13
07122,533,136,77,32,102,62,18,2,3,15
74284,532,134,76,32,101,61,16,1,3,14
28170,585,129,77,33,94,114,11,2,4,7
68358,600,137,77,34,113,129,19,2,5,26
51600,653,136,78,34,111,182,18,3,5,24
27091,603,135,78,32,98,132,17,3,3,11
31320,684,137,78,34,114,213,19,3,5,27
37180,591,132,77,34,98,120,14,2,5,11
47120,565,138,78,34,102,94,20,3,5,15
15027,551,134,76,32,101,80,16,1,3,14
68061,600,137,77,34,113,129,19,2,5,26
21433,572,135,76,32,103,101,17,1,3,16
77321,618,142,80,33,106,147,24,5,4,19
58079,656,146,88,34,103,185,28,13,5,16
07093,533,136,77,32,102,62,18,2,3,15
04104,528,128,77,32,96,57,10,2,3,9
14595,618,147,81,35,111,147,29,6,6,24
80475,510,138,84,40,97,39,20,9,11,10
76066,603,135,78,32,98,132,17,3,3,11
41050,590,131,76,34,97,119,13,1,5,10
46140,691,138,78,34,115,220,20,3,5,28
67510,601,138,77,34,114,130,20,2,5,27
04065,528,128,77,32,96,57,10,2,3,9
81042,716,159,80,44,112,245,41,5,15,25
67303,602,139,78,35,115,131,21,3,6,28
32008,684,137,78,34,113,213,19,3,5,26
04042,528,128,77,32,96,57,10,2,3,9
71355,572,135,76,32,103,101,17,1,3,16
46212,691,138,78,34,115,220,20,3,5,28
