departement;porteur_id;porteur_name;appelation;beneficiaire;annee;echeancier;projet;cout_total_ht;subvention_accordee;code_insee_siren
78;429;Préfectures de département;DETR;AIGREMONT;2019;;Installation d’un vidéoprojecteur interactif dans une salle de l’école de la Forêt;2 495;998;
78;429;Préfectures de département;DETR;ANDELU;2019;;Installation d’une pompe à chaleur à l’école Mireille Poupart;12 294;3 688;
78;429;Préfectures de département;DETR;ANDELU;2019;;Remplacement du mobilier du restaurant scolaire;7 245;2 174;
78;429;Préfectures de département;DETR;Andrésy;2019;;Rénovation et mise aux normes du complexe socioculturel et sportif Louise Weiss (tranche ferme);3 504 500;214 500;
78;429;Préfectures de département;DETR;Arnouville-les-Mantes;2019;;Installation d’un plan particulier de mise en sûreté à l’école élémentaire;3 036;1 214;
78;429;Préfectures de département;DETR;AUFFARGIS;2019;;Installation d’un système de vidéoprotection (rue Creuse, foyer rural, tennis, rues des Essarts, de l’Artoire, du Pont des Murgers, du Perray, de Saint Benoît, centre technique municipal et hameau de Saint Benoît);208 829;62 649;
78;429;Préfectures de département;DETR;Auffreville-Brasseuil;2019;;Construction d’un accès indépendant vers le logement de la mairie;25 555;7 667;
78;429;Préfectures de département;DETR;Auffreville-Brasseuil;2019;;Installation d’un système de vidéoprotection sur les cinq entrées/sorties de la commune;48 738;14 621;
78;429;Préfectures de département;DETR;BENNECOURT;2019;;Installation d’un tableau numérique interactif dans une classe de l’école élémentaire;6 408;2 000;
78;429;Préfectures de département;DETR;BEYNES;2019;;Mise aux normes de l’école élémentaire Anatole France;203 911;61 173;
78;429;Préfectures de département;DETR;BLARU;2019;;Installation d’un système de vidéoprotection à la mairie, sur le parking de la salle des fêtes et sur la place Saint Hilaire;29 949;11 980;
78;429;Préfectures de département;DETR;Boissy-Mauvoisin;2019;;Remplacement des huisseries de la salle des fêtes (4 fenêtres et 2 portes d’entrée façade arrière);10 030;3 009;
78;429;Préfectures de département;DETR;Boissy-sans-Avoir;2019;;Mise en conformité PMR de la mairie, de la salle des fêtes, de l’église, de l’ancien et du nouveau cimetière et de l’école (année 2019);17 580;3 540;
78;429;Préfectures de département;DETR;BONNELLES;2019;;Remplacement des baies de quatre classes et du bureau de la directrice à l’école élémentaire de l’Orangerie;24 500;17 395;
78;429;Préfectures de département;DETR;Bonnières-sur-Seine;2019;;Remplacement des portes et des fenêtres et installation d’une climatisation au foyer du 3ème âge;32 244;9 673;
